prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLE ALPI,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,2000,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,404,0,0,104,0,0,553
AOSTA,Aosta,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,1,0,0,24
VERCELLI,Piemonte,154,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30,0,0,2,0,0,38
NOVARA,Piemonte,325,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,52,0,0,6,0,0,79
CUNEO,Piemonte,515,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,99,0,0,28,0,0,132
ASTI,Piemonte,191,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,46,0,0,8,0,0,58
ALESSANDRIA,Piemonte,380,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,65,0,0,9,0,0,98
BIELLA,Piemonte,159,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,23,0,0,4,0,0,38
VERBANIA,Piemonte,142,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,27,0,0,1,0,0,37
GENOVA,Liguria,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,189,0,0,17,0,0,0,0,0,252
LA SPEZIA,Liguria,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,38,0,0,2,0,0,0,0,0,79
IMPERIA,Liguria,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,0,0,34,0,0,0,0,0,68
SAVONA,Liguria,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57,0,0,43,0,0,0,0,0,94
MILANO,Lombardia,2822,0,0,0,9,0,0,0,344,11,0,0,0,0,0,0,0,208,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91,0,0,114,0,0,55,0,0,0,28,0,105,780
VARESE,Lombardia,777,0,0,0,6,0,0,0,57,0,0,0,0,0,0,0,0,44,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,16,0,0,11,0,0,0,4,0,2,142
COMO,Lombardia,523,0,0,0,7,0,0,0,28,6,0,0,0,0,0,0,0,41,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,9,0,0,9,0,0,9,0,0,0,9,0,1,180
SONDRIO,Lombardia,159,0,0,0,3,0,0,0,11,2,0,0,0,0,0,0,0,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,26,0,0,4,0,0,3,0,0,0,3,0,0,77
BERGAMO,Lombardia,959,0,0,0,7,0,0,0,80,5,0,351,0,0,0,0,0,144,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,26,0,0,24,0,0,0,12,0,3,451
BRESCIA,Lombardia,1092,0,0,0,19,0,0,0,84,10,0,1,0,3,0,0,0,178,0,0,12,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,37,0,0,37,0,0,0,19,0,0,545
PAVIA,Lombardia,483,0,0,0,1,0,0,0,24,0,0,1,0,0,0,0,0,42,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1,0,0,8,0,0,8,0,0,0,3,0,0,158
CREMONA,Lombardia,315,0,0,0,3,0,0,0,29,5,0,0,0,0,0,0,0,45,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,0,6,0,0,0,1,0,1,92
MANTOVA,Lombardia,360,0,0,0,1,0,0,0,21,2,0,0,0,150,0,0,0,31,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,5,0,0,0,1,0,0,177
LECCO,Lombardia,296,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,8,0,0,5,0,0,3,0,0,0,0,0,2,60
LODI,Lombardia,200,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,1,0,0,0,1,0,0,35
MONZA E DELLA BRIANZA,Lombardia,757,0,0,0,10,0,0,0,78,12,0,1,0,0,0,0,0,73,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,53,0,0,10,0,0,28,0,0,0,14,0,6,208
TRENTO,Trentino,467,185,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243
BOLZANO,Trentino,450,3,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
VENEZIA,Veneto,754,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,37,0,131,0,0,0,0,0,0,3,0,0,0,0,0,117,0,0,0,0,0,0,0,27,0,0,13,0,0,5,0,0,0,252
VERONA,Veneto,802,0,0,216,0,0,0,0,34,0,0,0,0,0,0,0,0,37,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,11,0,0,0,0,0,0,267
VICENZA,Veneto,751,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,47,0,7,0,0,0,186,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,1,0,0,0,234
BELLUNO,Veneto,183,0,0,0,0,0,0,50,5,0,0,0,0,0,0,0,0,12,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,73
ROVIGO,Veneto,212,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,55
TREVISO,Veneto,770,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,31,0,111,0,0,0,5,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,10,0,0,114,0,0,0,223
PADOVA,Veneto,820,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,52,0,100,0,0,0,4,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,18,0,0,0,0,0,0,290
TRIESTE,Friuli,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
GORIZIA,Friuli,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
PORDENONE,Friuli,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,69,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
UDINE,Friuli,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,11,0,0,0,0,0,0,0,0,166,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
